ETA,Max Depth,Subsample,Colsample by Tree,B-cell Accuracy,Basophil Accuracy,Dendritic Accuracy,Macrophage Accuracy,Monocyte Accuracy,NK Accuracy,Platelet Accuracy,T-cell Accuracy,MAE
0.3,6,0.9,0.5,1,0.666666667,1,0.965909091,0.981132075,0.947698745,0.8,0.998170509,0.080052864
0.2,7,0.7,0.5,1,0.833333333,1,0.960227273,0.988679245,0.953974895,0.8,0.997987559,0.058224712
0.2,7,0.6,0.5,1,0.833333333,1,0.960227273,0.988679245,0.937238494,0.8,0.997987559,0.060316762
0.3,7,0.7,0.3,0.997560976,0.833333333,0.945945946,0.977272727,0.981132075,0.956066946,0.8,0.997987559,0.063837555
0.5,5,0.3,0.7,1,0.833333333,0.972972973,0.977272727,0.988679245,0.966527197,0.8,0.99780461,0.057926239
0.7,6,0.7,0.8,1,0.833333333,0.945945946,0.977272727,0.981132075,0.951882845,0.8,0.99780461,0.064078558
0.2,6,0.2,0.5,0.997560976,0.333333333,0.972972973,0.965909091,0.981132075,0.933054393,0.8,0.997987559,0.1272562
0.4,7,0.6,0.6,1,0.833333333,0.945945946,0.960227273,0.988679245,0.966527197,0.8,0.99780461,0.063435299
0.6,6,0.7,0.8,1,0.833333333,1,0.977272727,0.99245283,0.951882845,0.8,0.996706915,0.056043919
0.5,7,0.9,0.5,0.997560976,0.666666667,0.972972973,0.965909091,0.99245283,0.960251046,0.8,0.997621661,0.080820595
0.5,6,0.2,0.7,1,0.833333333,0.972972973,0.954545455,0.973584906,0.953974895,0.8,0.997072814,0.064314453
0.5,7,0.3,0.1,0.995121951,0.666666667,0.891891892,0.965909091,0.966037736,0.951882845,0.75,0.998536407,0.101744176
0.3,8,0.6,0.5,0.997560976,0.833333333,0.972972973,0.971590909,0.988679245,0.945606695,0.8,0.998170509,0.06151067
0.1,5,0.4,0.9,1,0.833333333,0.972972973,0.965909091,0.973584906,0.916317992,0.85,0.997621661,0.061282506
0.3,6,0.5,0.4,0.997560976,0.666666667,0.972972973,0.965909091,0.981132075,0.949790795,0.8,0.998353458,0.083451746
0.7,6,0.6,0.6,0.997560976,0.666666667,0.945945946,0.971590909,0.98490566,0.964435146,0.8,0.99780461,0.083886261
0.5,5,0.3,0.5,1,0.666666667,0.945945946,0.954545455,0.98490566,0.953974895,0.85,0.997987559,0.080746727
0.2,6,0.8,0.3,0.995121951,0.666666667,0.945945946,0.960227273,0.98490566,0.933054393,0.8,0.997987559,0.089511319
0.4,6,0.6,0.7,1,0.833333333,0.945945946,0.977272727,0.988679245,0.960251046,0.8,0.99780461,0.062089136
0.7,6,0.5,0.8,1,0.666666667,0.945945946,0.982954545,0.988679245,0.951882845,0.8,0.997987559,0.083235399
0.6,7,0.4,0.2,1,0.5,1,0.954545455,0.977358491,0.958158996,0.8,0.998170509,0.101470819
0.2,6,0.7,0.6,1,0.833333333,1,0.960227273,0.99245283,0.945606695,0.8,0.997621661,0.058844776
0.3,8,0.5,0.4,0.997560976,0.666666667,1,0.960227273,0.98490566,0.949790795,0.8,0.998353458,0.080311896
0.3,7,0.7,0.6,1,0.833333333,0.972972973,0.960227273,0.988679245,0.947698745,0.8,0.997621661,0.062433346
0.4,6,0.7,0.4,1,0.666666667,1,0.971590909,0.988679245,0.956066946,0.8,0.997987559,0.077376084
0.7,5,0.2,0.2,0.997560976,0.666666667,0.972972973,0.960227273,0.954716981,0.949790795,0.8,0.997987559,0.087509597
0.2,6,0.5,0.4,1,0.666666667,0.945945946,0.960227273,0.98490566,0.941422594,0.8,0.997987559,0.087855538
0.3,5,0.6,0.5,0.997560976,0.666666667,1,0.965909091,0.988679245,0.941422594,0.8,0.998170509,0.080198865
0.6,6,0.1,0.3,0.992682927,0.333333333,0.891891892,0.954545455,0.969811321,0.926778243,0.75,0.997438712,0.147939765
0.9,6,0.4,0,0,0,0,0.034090909,0,0.00209205,0,0.999451153,0.870545736
0.3,4,0.5,0.7,1,0.666666667,0.972972973,0.971590909,0.981132075,0.943514644,0.8,0.997438712,0.083335502
0.4,7,0.1,0.6,1,0.5,0.945945946,0.948863636,0.977358491,0.941422594,0.8,0.99780461,0.11107559
0.3,7,0.6,0.4,0.997560976,0.833333333,1,0.965909091,0.981132075,0.947698745,0.8,0.997987559,0.059547278
0.7,7,0.4,0.6,0.997560976,0.833333333,0.972972973,0.965909091,0.973584906,0.947698745,0.8,0.997987559,0.063869052
0.1,5,0.7,0.4,0.997560976,0.666666667,0.945945946,0.965909091,0.977358491,0.90376569,0.8,0.998536407,0.093032092
0.3,4,0.5,0.2,0.997560976,0.833333333,0.972972973,0.965909091,0.981132075,0.928870293,0.8,0.998170509,0.065256344
0.2,7,0.6,0.4,0.997560976,0.833333333,0.972972973,0.965909091,0.981132075,0.941422594,0.8,0.998170509,0.063687306
0.4,5,0.4,0.8,1,0.666666667,0.945945946,0.965909091,0.98490566,0.960251046,0.8,0.997438712,0.08486036
0.6,6,0.2,0.9,1,0.833333333,0.918918919,0.960227273,0.99245283,0.953974895,0.8,0.997987559,0.067888149
0.2,7,0.7,0.1,0.995121951,0.333333333,0.891891892,0.948863636,0.962264151,0.89748954,0.7,0.999085254,0.15899378
0.5,6,0.1,0.6,0.990243902,0.333333333,0.972972973,0.954545455,0.973584906,0.943514644,0.8,0.997072814,0.129341497
0.3,8,0.5,0.3,1,0.666666667,0.945945946,0.960227273,0.98490566,0.949790795,0.8,0.997987559,0.086809512
0.4,6,0.6,0.5,1,0.666666667,0.972972973,0.960227273,0.988679245,0.953974895,0.8,0.99780461,0.082459292
0.6,7,0.7,0.3,1,0.5,0.972972973,0.982954545,0.973584906,0.966527197,0.8,0.998170509,0.100723734
0.4,6,0.2,0.9,1,0.666666667,1,0.971590909,0.981132075,0.958158996,0.8,0.997621661,0.078103711
0.7,7,0.5,0.7,1,0.5,0.972972973,0.977272727,0.98490566,0.956066946,0.8,0.997621661,0.101395004
0.2,6,0.7,0.5,1,0.833333333,1,0.960227273,0.98490566,0.945606695,0.8,0.997987559,0.059742435
0.6,6,0.8,0.3,1,0.5,1,0.965909091,0.98490566,0.958158996,0.8,0.997621661,0.099175574
0.8,7,0.5,0.1,0.995121951,0.5,0.891891892,0.960227273,0.969811321,0.945606695,0.8,0.998170509,0.117396295
0.4,5,0.5,0.6,1,0.666666667,0.972972973,0.965909091,0.988679245,0.949790795,0.8,0.997987559,0.082249209
0.3,6,0.9,0.5,1,0.666666667,1,0.965909091,0.981132075,0.947698745,0.8,0.998170509,0.080052864
0.2,7,0.7,0.5,1,0.833333333,1,0.960227273,0.988679245,0.953974895,0.8,0.997987559,0.058224712
0.2,7,0.6,0.5,1,0.833333333,1,0.960227273,0.988679245,0.937238494,0.8,0.997987559,0.060316762
0.5,7,0.9,0.3,1,0.666666667,0.972972973,0.960227273,0.98490566,0.962343096,0.8,0.99780461,0.081884965
0.4,6,0.6,0.5,1,0.666666667,0.972972973,0.960227273,0.988679245,0.953974895,0.8,0.99780461,0.082459292
0.2,7,0.4,0.7,1,0.666666667,0.972972973,0.965909091,0.988679245,0.941422594,0.8,0.997621661,0.083340971
0.4,5,0.4,0.6,1,0.833333333,0.918918919,0.960227273,0.981132075,0.951882845,0.8,0.997438712,0.069633355
0.2,6,0.7,0.3,1,0.833333333,0.945945946,0.965909091,0.977358491,0.937238494,0.8,0.998353458,0.067732648
0.3,5,0.5,0.8,1,0.666666667,0.945945946,0.965909091,0.98490566,0.947698745,0.8,0.997987559,0.086360791
0.2,6,0.7,0.6,1,0.833333333,1,0.960227273,0.99245283,0.945606695,0.8,0.997621661,0.058844776
0.4,6,0.5,0.5,1,0.833333333,0.945945946,0.965909091,0.98490566,0.953974895,0.8,0.998170509,0.064720071
0.3,6,0.3,0.4,1,0.833333333,1,0.960227273,0.977358491,0.949790795,0.8,0.997987559,0.060162819
0.6,6,0.4,0.5,0.997560976,0.833333333,0.972972973,0.960227273,0.977358491,0.949790795,0.8,0.997987559,0.063846075
0.5,6,0.3,0.4,0.997560976,0.833333333,0.972972973,0.965909091,0.98490566,0.945606695,0.8,0.998170509,0.062692595
0.1,7,0.5,0.2,0.995121951,0.5,0.945945946,0.948863636,0.977358491,0.891213389,0.8,0.998902305,0.117824285
0.3,6,0.5,0.5,1,0.666666667,0.945945946,0.960227273,0.98490566,0.949790795,0.8,0.99780461,0.086832381
0.6,5,0.6,0.6,1,0.833333333,0.945945946,0.977272727,0.981132075,0.962343096,0.8,0.997072814,0.062862501
0.4,5,0.9,0.4,0.997560976,0.666666667,0.972972973,0.965909091,0.981132075,0.956066946,0.8,0.998170509,0.082690096
0.4,6,0.9,0.7,1,0.833333333,1,0.960227273,0.988679245,0.943514644,0.8,0.997621661,0.05957798
0.8,6,0.6,0.1,0.997560976,0.333333333,0.945945946,0.954545455,0.966037736,0.943514644,0.8,0.998170509,0.132611425
0.3,6,0.5,0.5,1,0.666666667,0.945945946,0.960227273,0.98490566,0.949790795,0.8,0.99780461,0.086832381
0.6,5,0.6,0.5,0.995121951,0.666666667,0.972972973,0.971590909,0.981132075,0.962343096,0.8,0.997255763,0.081614571
0.3,6,0.1,0.4,0.997560976,0.333333333,0.972972973,0.965909091,0.966037736,0.930962343,0.8,0.998170509,0.12938163
0.6,6,0.7,0.4,0.997560976,0.666666667,0.972972973,0.977272727,0.988679245,0.958158996,0.8,0.998536407,0.080019001
0.4,5,0.9,0.5,0.997560976,0.666666667,0.972972973,0.960227273,0.98490566,0.947698745,0.8,0.998170509,0.08397465
0.4,6,0.6,0.7,1,0.833333333,0.945945946,0.977272727,0.988679245,0.960251046,0.8,0.99780461,0.062089136
0.3,6,0.3,0.3,0.997560976,0.833333333,0.945945946,0.965909091,0.966037736,0.949790795,0.8,0.997987559,0.06792932
0.1,6,0.3,0.7,0.997560976,0.5,0.972972973,0.954545455,0.981132075,0.924686192,0.8,0.998170509,0.108866478
0.7,5,0.1,0.7,1,0.666666667,0.972972973,0.954545455,0.973584906,0.935146444,0.8,0.996523966,0.087569949
0.3,6,0.8,0.3,0.997560976,0.833333333,0.972972973,0.960227273,0.981132075,0.943514644,0.8,0.997987559,0.064158896
0.5,7,0.6,0.5,1,0.666666667,1,0.960227273,0.981132075,0.949790795,0.8,0.997987559,0.080524454
0.2,6,0.4,0.8,1,0.666666667,0.972972973,0.971590909,0.98490566,0.947698745,0.8,0.997987559,0.082272186
0.6,6,0.6,0.5,1,0.666666667,0.972972973,0.965909091,0.981132075,0.947698745,0.8,0.997621661,0.083499849
0.8,5,0.6,1,1,0.833333333,0.945945946,0.971590909,0.969811321,0.949790795,0.8,0.997255763,0.066533992
0.1,6,0.5,0.6,1,0.5,0.972972973,0.971590909,0.988679245,0.926778243,0.8,0.997621661,0.105294621
0.4,5,0.6,0.5,1,0.666666667,0.972972973,0.971590909,0.98490566,0.947698745,0.8,0.997987559,0.082272186
0.2,7,0.7,0.1,0.995121951,0.333333333,0.891891892,0.948863636,0.962264151,0.89748954,0.7,0.999085254,0.15899378
0.3,7,0.7,0.3,0.997560976,0.833333333,0.945945946,0.977272727,0.981132075,0.956066946,0.8,0.997987559,0.063837555
0.8,4,0.1,0.7,0.990243902,0.666666667,0.918918919,0.954545455,0.966037736,0.937238494,0.8,0.996158068,0.096273845
0.2,6,0.7,0.7,1,0.666666667,1,0.965909091,0.99245283,0.947698745,0.8,0.997438712,0.078729244
0.2,6,0.8,0.3,0.995121951,0.666666667,0.945945946,0.960227273,0.98490566,0.933054393,0.8,0.997987559,0.089511319
0.4,5,0.9,0.9,1,0.666666667,0.945945946,0.965909091,0.981132075,0.945606695,0.8,0.997438712,0.087162602
0.9,5,0.5,0.4,1,0.666666667,0.972972973,0.965909091,0.98490566,0.949790795,0.85,0.997438712,0.076539513
0.5,6,0.6,0.4,0.997560976,0.666666667,1,0.971590909,0.98490566,0.953974895,0.8,0.997621661,0.078459904
0.4,5,0.4,0.1,0.992682927,0.5,0.918918919,0.954545455,0.973584906,0.939330544,0.75,0.998353458,0.121572974
0.7,7,0.5,0.8,1,0.666666667,0.945945946,0.977272727,0.977358491,0.956066946,0.8,0.99780461,0.084860577
