,Gene,Feature Importance Value
26824,CCL5,2517.481689453125
4065,CD8B,2310.294677734375
31075,NKG7,2025.1903076171875
19179,CTSW,1228.4898681640625
4064,CD8A,1189.629150390625
20281,RP11-291B21.2,1147.402099609375
8886,GZMK,1082.931640625
32694,S100B,651.807861328125
8889,GZMA,632.4921875
4046,GNLY,530.01904296875
32698,MT-CO1,483.4020690917969
28832,CST7,478.59423828125
10607,LTB,476.27423095703125
18253,CARS,431.16790771484375
3294,ID2,428.6575012207031
18998,FTH1,384.28363037109375
32699,MT-CO2,364.3363342285156
1902,S100A11,310.5005187988281
30378,FXYD5,294.5544738769531
32705,MT-ND4,291.91033935546875
4105,DUSP2,276.0791320800781
1964,S100A4,267.5652160644531
19253,CORO1B,258.67071533203125
32702,MT-CO3,248.46145629882812
10609,NCR3,248.38229370117188
31398,RPS5,246.7117156982422
15745,RPS6,222.08364868164062
26454,UBB,220.30172729492188
16088,ANXA1,219.85377502441406
9971,NPM1,217.2888946533203
7223,LYAR,216.25750732421875
27883,CD7,211.20370483398438
29405,GZMM,210.33155822753906
25974,CYBA,192.85227966308594
24757,IL32,171.9457244873047
4978,EEF1B2,169.69627380371094
11733,RNASET2,169.6162872314453
13778,ITM2A,160.1516876220703
30428,HCST,155.68643188476562
13302,TMSB4X,154.98277282714844
13556,PLP2,153.77955627441406
32696,MT-ND1,148.33351135253906
558,CD52,145.19248962402344
17039,VIM,138.84246826171875
15830,AQP3,135.66354370117188
20397,LDHB,133.2204132080078
23794,B2M,133.09011840820312
4087,MAL,130.15420532226562
10610,AIF1,129.7043914794922
30656,CD79A,125.67500305175781
1989,RPS27,119.92936706542969
7586,HOPX,118.62854766845703
13125,GIMAP7,112.69438934326172
29562,MATK,110.17028045654297
13050,GSTK1,109.98262786865234
18238,TSPAN32,109.32974243164062
1109,JUN,108.65591430664062
25892,COTL1,108.50777435302734
30933,FTL,106.04096221923828
30655,RPS19,104.9288330078125
9986,DUSP1,101.85115051269531
4027,TMSB10,101.77536010742188
22588,GZMH,101.4493637084961
30894,EMP3,101.06031036376953
25588,TRADD,99.34618377685547
25913,COX4I1,93.55685424804688
27681,H3F3B,92.42948150634766
30561,GMFG,89.79547119140625
26013,RPL13,87.32239532470703
859,YBX1,85.8404769897461
10594,HLA-B,84.80735778808594
27030,EIF1,84.56956481933594
492,RPL11,84.4681625366211
16814,C9orf142,84.42919158935547
18401,EIF3F,83.93862915039062
19882,CRTAM,83.93594360351562
18411,RPL27A,78.49344635009766
20868,RPS26,76.30577850341797
15301,EIF3H,76.10102081298828
14094,CD40LG,74.23413848876953
24731,TCEB2,73.96744537353516
5521,RPL32,73.10002899169922
18156,SIGIRR,71.1221694946289
21512,PEBP1,67.5210189819336
31030,CLEC11A,67.41171264648438
26654,RPL23A,65.43985748291016
25484,CPNE2,65.13368225097656
32701,MT-ATP6,63.214012145996094
20691,BIN2,62.653987884521484
2304,RCSD1,62.234214782714844
30975,NOSIP,61.81765365600586
16947,PRKCQ-AS1,60.40355682373047
14501,DOK2,56.87053680419922
17802,NDUFB8.1,56.52729034423828
31959,GGA1,55.86457061767578
